text,emotion_label,text_clean,text_casefoldingText,text_slangwords,text_tokenizingText,text_stopword,text_akhir,emotion_id
Mood lagi bagus pas nilai revisi naik meski kemarin sempat capek,happy,Mood lagi bagus pas nilai revisi naik meski kemarin sempat capek,mood lagi bagus pas nilai revisi naik meski kemarin sempat capek,mood lagi bagus pas nilai revisi naik meski kemarin sempat capek,"['mood', 'lagi', 'bagus', 'pas', 'nilai', 'revisi', 'naik', 'meski', 'kemarin', 'sempat', 'capek']","['mood', 'bagus', 'pas', 'nilai', 'revisi', 'kemarin', 'capek']",mood bagus pas nilai revisi kemarin capek,2
terus ujaran naon? ujaran bangsat? ujaran kunyuk?,angry,terus ujaran naon ujaran bangsat ujaran kunyuk,terus ujaran naon? ujaran bangsat? ujaran kunyuk?,terus ujaran naon? ujaran bangsat? ujaran kunyuk?,"['terus', 'ujaran', 'naon', '?', 'ujaran', 'bangsat', '?', 'ujaran', 'kunyuk', '?']","['ujaran', 'naon', '?', 'ujaran', 'bangsat', '?', 'ujaran', 'kunyuk', '?']",ujaran naon ? ujaran bangsat ? ujaran kunyuk ?,0
Rasanya IPK turun aku jadi overthinking,sad,Rasanya IPK turun aku jadi overthinking,rasanya ipk turun aku jadi overthinking,rasanya ipk turun aku jadi overthinking,"['rasanya', 'ipk', 'turun', 'aku', 'jadi', 'overthinking']","['ipk', 'turun', 'overthinking']",ipk turun overthinking,4
Tadi pagi karena nyuci motor,neutral,Tadi pagi karena nyuci motor,tadi pagi karena nyuci motor,tadi pagi karena nyuci motor,"['tadi', 'pagi', 'karena', 'nyuci', 'motor']","['pagi', 'nyuci', 'motor']",pagi nyuci motor,3
Aku takut kalau ada gempa kecil tadi,fear,Aku takut kalau ada gempa kecil tadi,aku takut kalau ada gempa kecil tadi,aku takut kalau ada gempa kecil tadi,"['aku', 'takut', 'kalau', 'ada', 'gempa', 'kecil', 'tadi']","['takut', 'gempa']",takut gempa,1
"Sumpah ya, akun tiba-tiba logout aku jadi susah tenang",angry,Sumpah ya akun tibatiba logout aku jadi susah tenang,"sumpah ya, akun tiba-tiba logout aku jadi susah tenang","sumpah ya, akun tiba-tiba logout aku jadi susah tenang","['sumpah', 'ya', ',', 'akun', 'tiba-tiba', 'logout', 'aku', 'jadi', 'susah', 'tenang']","['sumpah', ',', 'akun', 'logout', 'susah', 'tenang']","sumpah , akun logout susah tenang",0
Seharian karena main game sebentar kayak hari biasa aja,neutral,Seharian karena main game sebentar kayak hari biasa aja,seharian karena main game sebentar kayak hari biasa aja,seharian karena main game sebentar kayak hari biasa saja,"['seharian', 'karena', 'main', 'game', 'sebentar', 'kayak', 'hari', 'biasa', 'saja']","['seharian', 'main', 'game', 'sebentar', 'kayak']",seharian main game sebentar kayak,3
Aku puas karena karena gaji cair lebih cepat dan hariku jadi lebih enak,happy,Aku puas karena karena gaji cair lebih cepat dan hariku jadi lebih enak,aku puas karena karena gaji cair lebih cepat dan hariku jadi lebih enak,aku puas karena karena gaji cair lebih cepat dan hariku jadi lebih enak,"['aku', 'puas', 'karena', 'karena', 'gaji', 'cair', 'lebih', 'cepat', 'dan', 'hariku', 'jadi', 'lebih', 'enak']","['puas', 'gaji', 'cair', 'cepat', 'hariku', 'enak']",puas gaji cair cepat hariku enak,2
"engga dendam, cuma diotak mikir kok bisa kaya gini?",neutral,engga dendam cuma diotak mikir kok bisa kaya gini,"engga dendam, cuma diotak mikir kok bisa kaya gini?","engga dendam, cuma diotak mikir kok bisa kaya gini?","['engga', 'dendam', ',', 'cuma', 'diotak', 'mikir', 'kok', 'bisa', 'kaya', 'gini', '?']","['engga', 'dendam', ',', 'diotak', 'mikir', 'kaya', 'gini', '?']","engga dendam , diotak mikir kaya gini ?",3
Gila sih kerjaan dilempar terus kepala langsung panas,angry,Gila sih kerjaan dilempar terus kepala langsung panas,gila sih kerjaan dilempar terus kepala langsung panas,gila sih kerjaan dilempar terus kepala langsung panas,"['gila', 'sih', 'kerjaan', 'dilempar', 'terus', 'kepala', 'langsung', 'panas']","['gila', 'kerjaan', 'dilempar', 'kepala', 'langsung', 'panas']",gila kerjaan dilempar kepala langsung panas,0
"angel_chibi terima kasih karna km udah buat hari-hariku jd lebih bahagia , km adlh hal terindah di hidupku yg singkat ini :')",happy,angelchibi terima kasih karna km udah buat harihariku jd lebih bahagia  km adlh hal terindah di hidupku yg singkat ini,"angel_chibi terima kasih karna km udah buat hari-hariku jd lebih bahagia , km adlh hal terindah di hidupku yg singkat ini :')","angel_chibi terima kasih karena kamu sudah buat hari-hariku jadi lebih bahagia , kamu adalah hal terindah di hidupku yang singkat ini :')","['angel_chibi', 'terima', 'kasih', 'karena', 'kamu', 'sudah', 'buat', 'hari-hariku', 'jadi', 'lebih', 'bahagia', ',', 'kamu', 'adalah', 'hal', 'terindah', 'di', 'hidupku', 'yang', 'singkat', 'ini', ':', ""'"", ')']","['angel_chibi', 'terima', 'kasih', 'hari-hariku', 'bahagia', ',', 'terindah', 'hidupku', 'singkat', ':', ""'"", ')']","angel_chibi terima kasih hari-hariku bahagia , terindah hidupku singkat : ' )",2
"rangnick: ""siapapun bisa membayangkan bagaimana yang dirasakan elanga. dia hancur dan benar-benar kecewa."" (bbc)",neutral,rangnick siapapun bisa membayangkan bagaimana yang dirasakan elanga dia hancur dan benarbenar kecewa bbc,"rangnick: ""siapapun bisa membayangkan bagaimana yang dirasakan elanga. dia hancur dan benar-benar kecewa."" (bbc)","rangnick: ""siapapun bisa membayangkan bagaimana yang dirasakan elanga. dia hancur dan benar-benar kecewa."" (bbc)","['rangnick', ':', '``', 'siapapun', 'bisa', 'membayangkan', 'bagaimana', 'yang', 'dirasakan', 'elanga', '.', 'dia', 'hancur', 'dan', 'benar-benar', 'kecewa', '.', ""''"", '(', 'bbc', ')']","['rangnick', ':', '``', 'membayangkan', 'dirasakan', 'elanga', '.', 'hancur', 'benar-benar', 'kecewa', '.', ""''"", '(', 'bbc', ')']",rangnick : `` membayangkan dirasakan elanga . hancur benar-benar kecewa . '' ( bbc ),3
Akhir-akhir ini pas data project hilang rasanya ga tenang,fear,Akhirakhir ini pas data project hilang rasanya ga tenang,akhir-akhir ini pas data project hilang rasanya ga tenang,akhir-akhir ini pas data project hilang rasanya ga tenang,"['akhir-akhir', 'ini', 'pas', 'data', 'project', 'hilang', 'rasanya', 'ga', 'tenang']","['akhir-akhir', 'pas', 'data', 'project', 'hilang', 'tenang']",akhir-akhir pas data project hilang tenang,1
Aku takut kalau karena sidang skripsi gagal,fear,Aku takut kalau karena sidang skripsi gagal,aku takut kalau karena sidang skripsi gagal,aku takut kalau karena sidang skripsi gagal,"['aku', 'takut', 'kalau', 'karena', 'sidang', 'skripsi', 'gagal']","['takut', 'sidang', 'skripsi', 'gagal']",takut sidang skripsi gagal,1
Tadi malam pas deadline makin dekat rasanya ga tenang,fear,Tadi malam pas deadline makin dekat rasanya ga tenang,tadi malam pas deadline makin dekat rasanya ga tenang,tadi malam pas deadline makin dekat rasanya ga tenang,"['tadi', 'malam', 'pas', 'deadline', 'makin', 'dekat', 'rasanya', 'ga', 'tenang']","['malam', 'pas', 'deadline', 'tenang']",malam pas deadline tenang,1
"Perasaan ga enak, nilai jelek keluar minggu depan",fear,Perasaan ga enak nilai jelek keluar minggu depan,"perasaan ga enak, nilai jelek keluar minggu depan","perasaan ga enak, nilai jelek keluar minggu depan","['perasaan', 'ga', 'enak', ',', 'nilai', 'jelek', 'keluar', 'minggu', 'depan']","['perasaan', 'enak', ',', 'nilai', 'jelek', 'minggu']","perasaan enak , nilai jelek minggu",1
Seneng banget karena tim akhirnya kompak pokoknya lega banget,happy,Seneng banget karena tim akhirnya kompak pokoknya lega banget,seneng banget karena tim akhirnya kompak pokoknya lega banget,seneng banget karena tim akhirnya kompak pokoknya lega banget,"['seneng', 'banget', 'karena', 'tim', 'akhirnya', 'kompak', 'pokoknya', 'lega', 'banget']","['seneng', 'banget', 'tim', 'kompak', 'pokoknya', 'lega', 'banget']",seneng banget tim kompak pokoknya lega banget,2
Seharian pas masak sederhana kayak hari biasa aja,neutral,Seharian pas masak sederhana kayak hari biasa aja,seharian pas masak sederhana kayak hari biasa aja,seharian pas masak sederhana kayak hari biasa saja,"['seharian', 'pas', 'masak', 'sederhana', 'kayak', 'hari', 'biasa', 'saja']","['seharian', 'pas', 'masak', 'sederhana', 'kayak']",seharian pas masak sederhana kayak,3
"Barusan, diterima magang pokoknya lega banget",happy,Barusan diterima magang pokoknya lega banget,"barusan, diterima magang pokoknya lega banget","barusan, diterima magang pokoknya lega banget","['barusan', ',', 'diterima', 'magang', 'pokoknya', 'lega', 'banget']","['barusan', ',', 'diterima', 'magang', 'pokoknya', 'lega', 'banget']","barusan , diterima magang pokoknya lega banget",2
Seharian pas dengerin musik,neutral,Seharian pas dengerin musik,seharian pas dengerin musik,seharian pas dengerin musik,"['seharian', 'pas', 'dengerin', 'musik']","['seharian', 'pas', 'dengerin', 'musik']",seharian pas dengerin musik,3
lo ngerti nggak drun dia sdg menjalankan krj sbg anggota dewan yg dpt hak impunitas. kadrun bego bgt sih. klo si edi mulyadi udh jelas menghina luar biasa merendahkan dgn nyebut kata2 binatang dan setan. lo kau gt dong aja nggak ngerti drun..,angry,lo ngerti nggak drun dia sdg menjalankan krj sbg anggota dewan yg dpt hak impunitas kadrun bego bgt sih klo si edi mulyadi udh jelas menghina luar biasa merendahkan dgn nyebut kata binatang dan setan lo kau gt dong aja nggak ngerti drun,lo ngerti nggak drun dia sdg menjalankan krj sbg anggota dewan yg dpt hak impunitas. kadrun bego bgt sih. klo si edi mulyadi udh jelas menghina luar biasa merendahkan dgn nyebut kata2 binatang dan setan. lo kau gt dong aja nggak ngerti drun..,kamu mengerti tidak drun dia sdg menjalankan krj sbg anggota dewan yang dapat hak impunitas. kadrun bego banget sih. kalau si edi mulyadi udh jelas menghina luar biasa merendahkan dengan nyebut kata2 binatang dan setan. kamu kamu begitu dong saja tidak mengerti drun..,"['kamu', 'mengerti', 'tidak', 'drun', 'dia', 'sdg', 'menjalankan', 'krj', 'sbg', 'anggota', 'dewan', 'yang', 'dapat', 'hak', 'impunitas', '.', 'kadrun', 'bego', 'banget', 'sih', '.', 'kalau', 'si', 'edi', 'mulyadi', 'udh', 'jelas', 'menghina', 'luar', 'biasa', 'merendahkan', 'dengan', 'nyebut', 'kata2', 'binatang', 'dan', 'setan', '.', 'kamu', 'kamu', 'begitu', 'dong', 'saja', 'tidak', 'mengerti', 'drun', '..']","['mengerti', 'drun', 'sdg', 'menjalankan', 'krj', 'sbg', 'anggota', 'dewan', 'hak', 'impunitas', '.', 'kadrun', 'bego', 'banget', '.', 'si', 'edi', 'mulyadi', 'udh', 'menghina', 'merendahkan', 'nyebut', 'kata2', 'binatang', 'setan', '.', 'mengerti', 'drun', '..']",mengerti drun sdg menjalankan krj sbg anggota dewan hak impunitas . kadrun bego banget . si edi mulyadi udh menghina merendahkan nyebut kata2 binatang setan . mengerti drun ..,0
Serius deh dosen acc proposal meski kemarin sempat capek,happy,Serius deh dosen acc proposal meski kemarin sempat capek,serius deh dosen acc proposal meski kemarin sempat capek,serius deh dosen accord proposal meski kemarin sempat capek,"['serius', 'deh', 'dosen', 'accord', 'proposal', 'meski', 'kemarin', 'sempat', 'capek']","['serius', 'deh', 'dosen', 'accord', 'proposal', 'kemarin', 'capek']",serius deh dosen accord proposal kemarin capek,2
Aku cuma pas dengerin musik kayak hari biasa aja,neutral,Aku cuma pas dengerin musik kayak hari biasa aja,aku cuma pas dengerin musik kayak hari biasa aja,aku cuma pas dengerin musik kayak hari biasa saja,"['aku', 'cuma', 'pas', 'dengerin', 'musik', 'kayak', 'hari', 'biasa', 'saja']","['pas', 'dengerin', 'musik', 'kayak']",pas dengerin musik kayak,3
"dia tkde bgi apa apa , tpi janji manis serta harapan palsu dia tu saya masih simpan",sad,dia tkde bgi apa apa  tpi janji manis serta harapan palsu dia tu saya masih simpan,"dia tkde bgi apa apa , tpi janji manis serta harapan palsu dia tu saya masih simpan","dia tkde bgi apa apa , tapi janji manis serta harapan palsu dia tu saya masih simpan","['dia', 'tkde', 'bgi', 'apa', 'apa', ',', 'tapi', 'janji', 'manis', 'serta', 'harapan', 'palsu', 'dia', 'tu', 'saya', 'masih', 'simpan']","['tkde', 'bgi', ',', 'janji', 'manis', 'harapan', 'palsu', 'tu', 'simpan']","tkde bgi , janji manis harapan palsu tu simpan",4
"Malam ini, teman mulai menjauh susah fokus sejak tadi",sad,Malam ini teman mulai menjauh susah fokus sejak tadi,"malam ini, teman mulai menjauh susah fokus sejak tadi","malam ini, teman mulai menjauh susah fokus sejak tadi","['malam', 'ini', ',', 'teman', 'mulai', 'menjauh', 'susah', 'fokus', 'sejak', 'tadi']","['malam', ',', 'teman', 'menjauh', 'susah', 'fokus']","malam , teman menjauh susah fokus",4
"Hari ini biasa aja, masak sederhana lalu lanjut aktivitas lagi",neutral,Hari ini biasa aja masak sederhana lalu lanjut aktivitas lagi,"hari ini biasa aja, masak sederhana lalu lanjut aktivitas lagi","hari ini biasa aja, masak sederhana lalu lanjut aktivitas lagi","['hari', 'ini', 'biasa', 'aja', ',', 'masak', 'sederhana', 'lalu', 'lanjut', 'aktivitas', 'lagi']","['aja', ',', 'masak', 'sederhana', 'aktivitas']","aja , masak sederhana aktivitas",3
"Tadi pagi, dapat pelanggan baru meski kemarin sempat capek",happy,Tadi pagi dapat pelanggan baru meski kemarin sempat capek,"tadi pagi, dapat pelanggan baru meski kemarin sempat capek","tadi pagi, dapat pelanggan baru meski kemarin sempat capek","['tadi', 'pagi', ',', 'dapat', 'pelanggan', 'baru', 'meski', 'kemarin', 'sempat', 'capek']","['pagi', ',', 'pelanggan', 'kemarin', 'capek']","pagi , pelanggan kemarin capek",2
Tadi siang karena chat penting dicuekin jadi pengen marah-marah,angry,Tadi siang karena chat penting dicuekin jadi pengen marahmarah,tadi siang karena chat penting dicuekin jadi pengen marah-marah,tadi siang karena chat penting dicuekin jadi pengen marah-marah,"['tadi', 'siang', 'karena', 'chat', 'penting', 'dicuekin', 'jadi', 'pengen', 'marah-marah']","['siang', 'chat', 'dicuekin', 'pengen', 'marah-marah']",siang chat dicuekin pengen marah-marah,0
"jangan pernah benci sama orang, bisa aja dia jodoh kam",fear,jangan pernah benci sama orang bisa aja dia jodoh kam,"jangan pernah benci sama orang, bisa aja dia jodoh kam","jangan pernah benci sama orang, bisa saja dia jodoh kam","['jangan', 'pernah', 'benci', 'sama', 'orang', ',', 'bisa', 'saja', 'dia', 'jodoh', 'kam']","['benci', 'orang', ',', 'jodoh', 'kam']","benci orang , jodoh kam",1
sampe temen temen aku inget aku suka banget sama lagu ini haha,happy,sampe temen temen aku inget aku suka banget sama lagu ini haha,sampe temen temen aku inget aku suka banget sama lagu ini haha,sampai teman teman aku inget aku suka banget sama lagu ini tertawa,"['sampai', 'teman', 'teman', 'aku', 'inget', 'aku', 'suka', 'banget', 'sama', 'lagu', 'ini', 'tertawa']","['teman', 'teman', 'inget', 'suka', 'banget', 'lagu', 'tertawa']",teman teman inget suka banget lagu tertawa,2
"Hari ini bikin emosi, pesanan datang salah kepala langsung panas",angry,Hari ini bikin emosi pesanan datang salah kepala langsung panas,"hari ini bikin emosi, pesanan datang salah kepala langsung panas","hari ini bikin emosi, pesanan datang salah kepala langsung panas","['hari', 'ini', 'bikin', 'emosi', ',', 'pesanan', 'datang', 'salah', 'kepala', 'langsung', 'panas']","['bikin', 'emosi', ',', 'pesanan', 'salah', 'kepala', 'langsung', 'panas']","bikin emosi , pesanan salah kepala langsung panas",0
"berapa episode ""siapa takut jatuh cinta""????",neutral,berapa episode siapa takut jatuh cinta,"berapa episode ""siapa takut jatuh cinta""????","berapa episode ""siapa takut jatuh cinta""????","['berapa', 'episode', '``', 'siapa', 'takut', 'jatuh', 'cinta', ""''"", '?', '?', '?', '?']","['episode', '``', 'takut', 'jatuh', 'cinta', ""''"", '?', '?', '?', '?']",episode `` takut jatuh cinta '' ? ? ? ?,3
Ga nyangka bisa tidur cukup meski kemarin sempat capek,happy,Ga nyangka bisa tidur cukup meski kemarin sempat capek,ga nyangka bisa tidur cukup meski kemarin sempat capek,ga nyangka bisa tidur cukup meski kemarin sempat capek,"['ga', 'nyangka', 'bisa', 'tidur', 'cukup', 'meski', 'kemarin', 'sempat', 'capek']","['nyangka', 'tidur', 'kemarin', 'capek']",nyangka tidur kemarin capek,2
Aku puas karena pas project selesai tepat waktu dan hariku jadi lebih enak,happy,Aku puas karena pas project selesai tepat waktu dan hariku jadi lebih enak,aku puas karena pas project selesai tepat waktu dan hariku jadi lebih enak,aku puas karena pas project selesai tepat waktu dan hariku jadi lebih enak,"['aku', 'puas', 'karena', 'pas', 'project', 'selesai', 'tepat', 'waktu', 'dan', 'hariku', 'jadi', 'lebih', 'enak']","['puas', 'pas', 'project', 'selesai', 'hariku', 'enak']",puas pas project selesai hariku enak,2
"petai cina ampuh turunkan gula darah. nah, kali ini mintani mau bertanya, siapa yang suka makan petai cina? yuk ngacung. mintani suka banget dengan yang satu ini. apa saja sih manfaatnya dari petai cina ini? yuk kita sama simak infografis berikut..",neutral,petai cina ampuh turunkan gula darah nah kali ini mintani mau bertanya siapa yang suka makan petai cina yuk ngacung mintani suka banget dengan yang satu ini apa saja sih manfaatnya dari petai cina ini yuk kita sama simak infografis berikut,"petai cina ampuh turunkan gula darah. nah, kali ini mintani mau bertanya, siapa yang suka makan petai cina? yuk ngacung. mintani suka banget dengan yang satu ini. apa saja sih manfaatnya dari petai cina ini? yuk kita sama simak infografis berikut..","petai cina ampuh turunkan gula darah. nah, kali ini mintani mau bertanya, siapa yang suka makan petai cina? yuk ngacung. mintani suka banget dengan yang satu ini. apa saja sih manfaatnya dari petai cina ini? yuk kita sama simak infografis berikut..","['petai', 'cina', 'ampuh', 'turunkan', 'gula', 'darah', '.', 'nah', ',', 'kali', 'ini', 'mintani', 'mau', 'bertanya', ',', 'siapa', 'yang', 'suka', 'makan', 'petai', 'cina', '?', 'yuk', 'ngacung', '.', 'mintani', 'suka', 'banget', 'dengan', 'yang', 'satu', 'ini', '.', 'apa', 'saja', 'sih', 'manfaatnya', 'dari', 'petai', 'cina', 'ini', '?', 'yuk', 'kita', 'sama', 'simak', 'infografis', 'berikut', '..']","['petai', 'cina', 'ampuh', 'turunkan', 'gula', 'darah', '.', ',', 'kali', 'mintani', ',', 'suka', 'makan', 'petai', 'cina', '?', 'yuk', 'ngacung', '.', 'mintani', 'suka', 'banget', '.', 'manfaatnya', 'petai', 'cina', '?', 'yuk', 'simak', 'infografis', '..']","petai cina ampuh turunkan gula darah . , kali mintani , suka makan petai cina ? yuk ngacung . mintani suka banget . manfaatnya petai cina ? yuk simak infografis ..",3
Serius deh karena hasil workout mulai kelihatan,happy,Serius deh karena hasil workout mulai kelihatan,serius deh karena hasil workout mulai kelihatan,serius deh karena hasil workout mulai kelihatan,"['serius', 'deh', 'karena', 'hasil', 'workout', 'mulai', 'kelihatan']","['serius', 'deh', 'hasil', 'workout']",serius deh hasil workout,2
Akhir-akhir ini deadline makin dekat dan susah tidur jadinya,fear,Akhirakhir ini deadline makin dekat dan susah tidur jadinya,akhir-akhir ini deadline makin dekat dan susah tidur jadinya,akhir-akhir ini deadline makin dekat dan susah tidur jadinya,"['akhir-akhir', 'ini', 'deadline', 'makin', 'dekat', 'dan', 'susah', 'tidur', 'jadinya']","['akhir-akhir', 'deadline', 'susah', 'tidur']",akhir-akhir deadline susah tidur,1
Hari ini biasa aja belajar online ga terlalu capek juga,neutral,Hari ini biasa aja belajar online ga terlalu capek juga,hari ini biasa aja belajar online ga terlalu capek juga,hari ini biasa saja belajar online ga terlalu capek juga,"['hari', 'ini', 'biasa', 'saja', 'belajar', 'online', 'ga', 'terlalu', 'capek', 'juga']","['belajar', 'online', 'capek']",belajar online capek,3
"Hari ini bikin emosi, client ubah requirement mendadak kepala langsung panas",angry,Hari ini bikin emosi client ubah requirement mendadak kepala langsung panas,"hari ini bikin emosi, client ubah requirement mendadak kepala langsung panas","hari ini bikin emosi, client ubah requirement mendadak kepala langsung panas","['hari', 'ini', 'bikin', 'emosi', ',', 'client', 'ubah', 'requirement', 'mendadak', 'kepala', 'langsung', 'panas']","['bikin', 'emosi', ',', 'client', 'ubah', 'requirement', 'mendadak', 'kepala', 'langsung', 'panas']","bikin emosi , client ubah requirement mendadak kepala langsung panas",0
"happy b'day dedek jiee. adek nuna udah gede. ttap jd maknae yg sabar menghadapi kelakuan abang2ny yah. nuna syang jisung. bahagia terus yh. tenang aja, jisung ttap jadi maknae kesaayangan & yg pling kiyowok,,",happy,happy bday dedek jiee adek nuna udah gede ttap jd maknae yg sabar menghadapi kelakuan abangny yah nuna syang jisung bahagia terus yh tenang aja jisung ttap jadi maknae kesaayangan  yg pling kiyowok,"happy b'day dedek jiee. adek nuna udah gede. ttap jd maknae yg sabar menghadapi kelakuan abang2ny yah. nuna syang jisung. bahagia terus yh. tenang aja, jisung ttap jadi maknae kesaayangan & yg pling kiyowok,,","bahagia b'day dedek jiee. adek nuna sudah gede. ttap jadi maknae yang sabar menghadapi kelakuan abang2ny yah. nuna syang jisung. bahagia terus yh. tenang aja, jisung ttap jadi maknae kesaayangan & yang pling kiyowok,,","['bahagia', ""b'day"", 'dedek', 'jiee', '.', 'adek', 'nuna', 'sudah', 'gede', '.', 'ttap', 'jadi', 'maknae', 'yang', 'sabar', 'menghadapi', 'kelakuan', 'abang2ny', 'yah', '.', 'nuna', 'syang', 'jisung', '.', 'bahagia', 'terus', 'yh', '.', 'tenang', 'aja', ',', 'jisung', 'ttap', 'jadi', 'maknae', 'kesaayangan', '&', 'yang', 'pling', 'kiyowok', ',', ',']","['bahagia', ""b'day"", 'dedek', 'jiee', '.', 'adek', 'nuna', 'gede', '.', 'ttap', 'maknae', 'sabar', 'menghadapi', 'kelakuan', 'abang2ny', 'yah', '.', 'nuna', 'syang', 'jisung', '.', 'bahagia', 'yh', '.', 'tenang', 'aja', ',', 'jisung', 'ttap', 'maknae', 'kesaayangan', '&', 'pling', 'kiyowok', ',', ',']","bahagia b'day dedek jiee . adek nuna gede . ttap maknae sabar menghadapi kelakuan abang2ny yah . nuna syang jisung . bahagia yh . tenang aja , jisung ttap maknae kesaayangan & pling kiyowok , ,",2
saling menyayangi. saling memiliki. saling membutuhkan. saling takut kehilangan. itu yang terpenting.,neutral,saling menyayangi saling memiliki saling membutuhkan saling takut kehilangan itu yang terpenting,saling menyayangi. saling memiliki. saling membutuhkan. saling takut kehilangan. itu yang terpenting.,saling menyayangi. saling memiliki. saling membutuhkan. saling takut kehilangan. itu yang terpenting.,"['saling', 'menyayangi', '.', 'saling', 'memiliki', '.', 'saling', 'membutuhkan', '.', 'saling', 'takut', 'kehilangan', '.', 'itu', 'yang', 'terpenting', '.']","['menyayangi', '.', 'memiliki', '.', 'membutuhkan', '.', 'takut', 'kehilangan', '.', 'terpenting', '.']",menyayangi . memiliki . membutuhkan . takut kehilangan . terpenting .,3
"Hari ini, belajar online ga terlalu capek juga",neutral,Hari ini belajar online ga terlalu capek juga,"hari ini, belajar online ga terlalu capek juga","hari ini, belajar online ga terlalu capek juga","['hari', 'ini', ',', 'belajar', 'online', 'ga', 'terlalu', 'capek', 'juga']","[',', 'belajar', 'online', 'capek']",", belajar online capek",3
Jujur agak cemas pas belum dapat kerja rasanya ga tenang,fear,Jujur agak cemas pas belum dapat kerja rasanya ga tenang,jujur agak cemas pas belum dapat kerja rasanya ga tenang,jujur agak cemas pas belum dapat kerja rasanya ga tenang,"['jujur', 'agak', 'cemas', 'pas', 'belum', 'dapat', 'kerja', 'rasanya', 'ga', 'tenang']","['jujur', 'cemas', 'pas', 'kerja', 'tenang']",jujur cemas pas kerja tenang,1
"Jengkel parah, ada yang nyalahin tanpa cek fakta kepala langsung panas",angry,Jengkel parah ada yang nyalahin tanpa cek fakta kepala langsung panas,"jengkel parah, ada yang nyalahin tanpa cek fakta kepala langsung panas","jengkel parah, ada yang nyalahin tanpa cek fakta kepala langsung panas","['jengkel', 'parah', ',', 'ada', 'yang', 'nyalahin', 'tanpa', 'cek', 'fakta', 'kepala', 'langsung', 'panas']","['jengkel', 'parah', ',', 'nyalahin', 'cek', 'fakta', 'kepala', 'langsung', 'panas']","jengkel parah , nyalahin cek fakta kepala langsung panas",0
Tadi siang karena chat penting dicuekin kepala langsung panas,angry,Tadi siang karena chat penting dicuekin kepala langsung panas,tadi siang karena chat penting dicuekin kepala langsung panas,tadi siang karena chat penting dicuekin kepala langsung panas,"['tadi', 'siang', 'karena', 'chat', 'penting', 'dicuekin', 'kepala', 'langsung', 'panas']","['siang', 'chat', 'dicuekin', 'kepala', 'langsung', 'panas']",siang chat dicuekin kepala langsung panas,0
"plis nilai akm keluarnya lama banget, takut",fear,plis nilai akm keluarnya lama banget takut,"plis nilai akm keluarnya lama banget, takut","plis nilai akm keluarnya lama banget, takut","['plis', 'nilai', 'akm', 'keluarnya', 'lama', 'banget', ',', 'takut']","['plis', 'nilai', 'akm', 'keluarnya', 'banget', ',', 'takut']","plis nilai akm keluarnya banget , takut",1
Ga nyangka pas jualan rame dan hariku jadi lebih enak,happy,Ga nyangka pas jualan rame dan hariku jadi lebih enak,ga nyangka pas jualan rame dan hariku jadi lebih enak,ga nyangka pas jualan ramai dan hariku jadi lebih enak,"['ga', 'nyangka', 'pas', 'jualan', 'ramai', 'dan', 'hariku', 'jadi', 'lebih', 'enak']","['nyangka', 'pas', 'jualan', 'ramai', 'hariku', 'enak']",nyangka pas jualan ramai hariku enak,2
"Aku cuma, baca artikel teknologi kayak hari biasa aja",neutral,Aku cuma baca artikel teknologi kayak hari biasa aja,"aku cuma, baca artikel teknologi kayak hari biasa aja","aku cuma, baca artikel teknologi kayak hari biasa saja","['aku', 'cuma', ',', 'baca', 'artikel', 'teknologi', 'kayak', 'hari', 'biasa', 'saja']","[',', 'baca', 'artikel', 'teknologi', 'kayak']",", baca artikel teknologi kayak",3
Tadi pagi pas dapat pelanggan baru,happy,Tadi pagi pas dapat pelanggan baru,tadi pagi pas dapat pelanggan baru,tadi pagi pas dapat pelanggan baru,"['tadi', 'pagi', 'pas', 'dapat', 'pelanggan', 'baru']","['pagi', 'pas', 'pelanggan']",pagi pas pelanggan,2
ini emang enak banget,happy,ini emang enak banget,ini emang enak banget,ini emang enak banget,"['ini', 'emang', 'enak', 'banget']","['emang', 'enak', 'banget']",emang enak banget,2
Malam ini pas tabungan kepake semua aku jadi overthinking,sad,Malam ini pas tabungan kepake semua aku jadi overthinking,malam ini pas tabungan kepake semua aku jadi overthinking,malam ini pas tabungan kepake semua aku jadi overthinking,"['malam', 'ini', 'pas', 'tabungan', 'kepake', 'semua', 'aku', 'jadi', 'overthinking']","['malam', 'pas', 'tabungan', 'kepake', 'overthinking']",malam pas tabungan kepake overthinking,4
Sekarang lagi karena edit dokumen ga terlalu capek juga,neutral,Sekarang lagi karena edit dokumen ga terlalu capek juga,sekarang lagi karena edit dokumen ga terlalu capek juga,sekarang lagi karena edit dokumen ga terlalu capek juga,"['sekarang', 'lagi', 'karena', 'edit', 'dokumen', 'ga', 'terlalu', 'capek', 'juga']","['edit', 'dokumen', 'capek']",edit dokumen capek,3
